IP地址	端口	回源端口	TLS	数据中心	地区	城市	TCP延迟(ms)	速度(MB/s)
143.47.248.145	443	443	true	FRA	Europe	Frankfurt	278	5.34
141.148.237.32	443	443	true	FRA	Europe	Frankfurt	256	5.32
144.21.55.163	443	443	true	FRA	Europe	Frankfurt	258	5.32
141.144.198.139	443	443	true	FRA	Europe	Frankfurt	272	5.32
143.47.250.222	443	443	true	FRA	Europe	Frankfurt	272	5.31
140.238.95.87	443	443	true	FRA	Europe	Frankfurt	258	5.30
141.147.190.128	443	443	true	NRT	Asia Pacific	Tokyo	71	5.29
158.101.219.33	443	443	true	FRA	Europe	Frankfurt	270	5.29
158.178.145.23	443	443	true	FRA	Europe	Frankfurt	260	5.29
141.147.100.13	443	443	true	FRA	Europe	Frankfurt	264	5.29
192.18.134.231	443	443	true	SJC	North America	San Jose	172	5.29
89.168.102.18	443	443	true	FRA	Europe	Frankfurt	250	5.28
140.238.81.187	443	443	true	FRA	Europe	Frankfurt	306	5.27
141.148.224.15	443	443	true	FRA	Europe	Frankfurt	260	5.26
84.235.175.69	443	443	true	FRA	Europe	Frankfurt	285	5.24
141.144.238.181	443	443	true	FRA	Europe	Frankfurt	249	5.24
141.147.178.154	443	443	true	NRT	Asia Pacific	Tokyo	83	5.23
141.144.198.110	443	443	true	FRA	Europe	Frankfurt	242	5.22
143.47.232.171	443	443	true	FRA	Europe	Frankfurt	259	5.22
158.101.217.4	443	443	true	FRA	Europe	Frankfurt	268	5.22
141.147.103.82	443	443	true	FRA	Europe	Frankfurt	259	5.22
143.47.246.67	443	443	true	FRA	Europe	Frankfurt	261	5.21
141.147.119.23	443	443	true	FRA	Europe	Frankfurt	285	5.21
89.168.101.35	443	443	true	FRA	Europe	Frankfurt	254	5.20
141.148.230.25	443	443	true	FRA	Europe	Frankfurt	263	5.19
130.162.56.30	443	443	true	FRA	Europe	Frankfurt	258	5.19
158.180.42.237	443	443	true	FRA	Europe	Frankfurt	261	5.18
141.145.205.115	8443	8443	true	CDG	Europe	Paris	236	5.16
141.148.236.26	443	443	true	FRA	Europe	Frankfurt	266	5.16
